"","gene","AHQF1i_LD_11ReadsPerGene.out.tab","AHQF1i_LD_21ReadsPerGene.out.tab","AHQF1i_LD_6ReadsPerGene.out.tab","AHQF1i_SD_10ReadsPerGene.out.tab","AHQF1i_SD_19ReadsPerGene.out.tab","AHQF1x_LD_28ReadsPerGene.out.tab","AHQF1x_LD_30ReadsPerGene.out.tab","AHQF1x_LD_31ReadsPerGene.out.tab","AHQF1X_SD_29ReadsPerGene.out.tab","AHQF1x_SD_32ReadsPerGene.out.tab","AHQF1x_SD_33ReadsPerGene.out.tab","AHQN_LD_16ReadsPerGene.out.tab","AHQN_LD_20ReadsPerGene.out.tab","AHQN_LD_24ReadsPerGene.out.tab","AHQN_LD_5ReadsPerGene.out.tab","AHQT_LD_17ReadsPerGene.out.tab","AHQT_LD_22ReadsPerGene.out.tab","AHQT_LD_7ReadsPerGene.out.tab","AHQT_LD_8ReadsPerGene.out.tab","AHQT_SD_18ReadsPerGene.out.tab","AHQT_SD_23ReadsPerGene.out.tab","AHQT_SD_25ReadsPerGene.out.tab"
"25085","Migut.N01302.v2.0",105,59,25,100,79,126,45,74,732,27,1059,74,162,92,77,124,68,23,26,53,7,104
"25086","Migut.N01303.v2.0",0,1,0,0,11,0,0,0,31,0,73,0,0,1,0,0,0,0,0,0,1,2
"25087","Migut.N01304.v2.0",17,7,3,0,20,5,1,6,79,3,147,3,16,2,2,0,6,3,3,10,1,19
"25088","Migut.N01305.v2.0",622,828,398,356,1906,983,604,1392,5741,132,13444,769,1659,803,604,704,773,204,256,817,35,1361
"25089","Migut.N01306.v2.0",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"25090","Migut.N01307.v2.0",0,2,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,0,0
"25091","Migut.N01308.v2.0",1,0,0,0,0,0,0,5,33,0,34,0,5,0,2,5,1,0,0,2,0,0
"25092","Migut.N01309.v2.0",1,7,2,5,9,4,2,3,124,2,177,1,10,6,8,2,1,3,0,8,3,25
"25093","Migut.N01310.v2.0",0,3,0,4,10,0,11,0,17,0,32,6,1,0,1,0,0,0,1,2,0,2
"25094","Migut.N01311.v2.0",3,33,9,52,77,14,50,50,562,3,809,41,14,28,2,13,14,12,18,87,3,7
"25095","Migut.N01312.v2.0",0,1,1,3,5,1,0,8,24,0,33,0,5,0,0,2,3,1,0,4,0,1
"25096","Migut.N01313.v2.0",502,484,97,212,374,390,260,752,2494,131,3450,369,1089,302,326,467,399,182,202,427,30,571
"25097","Migut.N01314.v2.0",43,62,14,40,147,37,40,69,953,27,1694,73,151,56,73,22,61,36,29,179,20,266
"25098","Migut.N01315.v2.0",0,0,0,0,1,0,0,3,6,2,4,0,0,0,0,0,0,0,0,0,0,0
"25099","Migut.N01316.v2.0",1147,1610,250,740,1273,799,728,1255,8487,369,13080,657,2618,681,1025,794,932,459,740,2076,112,1609
"25100","Migut.N01317.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25101","Migut.N01318.v2.0",200,313,20,203,239,103,165,189,1633,45,2516,76,239,120,188,102,134,68,60,222,23,384
"25102","Migut.N01319.v2.0",0,4,0,1,0,0,0,0,7,0,6,0,0,0,2,0,1,3,0,5,0,8
"25103","Migut.N01320.v2.0",4,5,1,8,4,3,6,5,48,0,83,14,14,7,5,4,1,1,0,4,2,14
"25104","Migut.N01321.v2.0",222,293,33,111,142,143,83,290,1006,39,1307,190,479,163,153,195,165,91,85,204,10,262
"25105","Migut.N01322.v2.0",119,126,25,49,100,81,54,122,508,16,812,42,166,65,59,83,58,34,41,112,7,114
"25106","Migut.N01323.v2.0",3963,4544,406,1092,3405,1342,2195,3076,20480,732,27400,2921,7922,2717,3389,2233,2017,1401,1141,5050,375,3749
"25107","Migut.N01324.v2.0",320,435,83,169,258,302,165,483,2309,127,3412,242,702,148,260,294,298,132,129,329,16,471
"25108","Migut.N01325.v2.0",336,1165,94,499,558,250,512,608,1563,28,4041,204,354,554,457,307,122,119,179,634,56,892
"25109","Migut.N01326.v2.0",462,446,46,154,317,287,137,399,2104,90,2956,280,644,180,176,263,242,131,124,338,20,478
"25110","Migut.N01327.v2.0",59,39,11,24,39,45,21,58,296,16,442,29,127,23,26,78,44,11,15,25,0,55
"25111","Migut.N01328.v2.0",250,247,44,96,259,125,95,248,1453,64,2353,159,356,94,152,147,156,83,68,313,24,265
"25112","Migut.N01329.v2.0",192,333,44,374,370,220,257,331,2192,49,3809,141,317,220,189,132,117,67,84,209,21,260
"25113","Migut.N01330.v2.0",1128,1905,243,521,950,1071,918,1943,7733,331,10189,881,3040,937,1104,1024,1092,687,484,1540,81,1998
"25114","Migut.N01331.v2.0",1288,1626,260,842,1314,758,700,1462,8559,264,12448,909,2171,830,964,960,924,410,510,1216,109,1670
"25115","Migut.N01332.v2.0",161,139,11,56,80,86,32,124,675,24,1016,81,252,40,101,42,51,48,40,105,7,112
"25116","Migut.N01333.v2.0",90,265,3,6,6,7,4,23,45,7,41,105,284,5,142,30,2,4,8,92,2,47
"25117","Migut.N01334.v2.0",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25118","Migut.N01335.v2.0",1,10,2,6,18,7,6,4,81,2,140,4,3,13,2,4,0,0,1,8,0,13
"25119","Migut.N01336.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25120","Migut.N01337.v2.0",1,0,0,0,0,0,1,3,3,0,6,0,2,0,0,1,0,0,0,1,0,1
"25121","Migut.N01338.v2.0",533,582,86,200,434,398,401,557,2972,129,4138,466,1040,425,323,429,377,214,213,619,47,764
"25122","Migut.N01339.v2.0",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0
"25123","Migut.N01340.v2.0",69,83,23,35,55,60,65,79,439,23,613,70,220,81,80,84,46,47,56,60,6,143
"25124","Migut.N01341.v2.0",0,0,0,0,0,0,2,0,3,0,7,0,3,0,0,1,1,0,0,1,0,4
"25125","Migut.N01342.v2.0",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"25126","Migut.N01343.v2.0",0,0,0,1,0,1,0,3,4,0,0,0,0,0,1,0,1,0,0,0,0,0
"25127","Migut.N01344.v2.0",0,0,0,0,1,2,0,2,8,0,7,4,20,0,1,2,0,1,0,1,0,0
"25128","Migut.N01345.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25129","Migut.N01346.v2.0",0,0,0,2,1,0,0,1,17,1,11,2,0,0,2,0,0,0,5,6,0,6
"25130","Migut.N01347.v2.0",285,287,56,133,287,215,135,315,1579,65,2610,170,506,212,200,130,162,106,86,247,14,353
"25131","Migut.N01348.v2.0",22,23,6,8,46,42,13,58,402,19,432,29,73,16,17,20,32,22,38,28,0,28
"25132","Migut.N01349.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25133","Migut.N01350.v2.0",430,585,75,329,397,246,225,422,2730,70,3642,311,713,337,304,353,285,152,171,533,43,651
"25134","Migut.N01351.v2.0",542,598,104,246,458,384,315,576,2626,102,3550,361,1103,345,352,514,402,192,242,532,36,638
"25135","Migut.N01352.v2.0",431,581,99,300,419,332,263,521,3541,145,5171,288,1006,323,357,353,300,157,197,513,36,618
"25136","Migut.N01353.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25137","Migut.N01354.v2.0",87,150,17,81,110,57,68,119,849,18,1108,45,79,69,69,102,159,39,42,314,24,306
"25138","Migut.N01355.v2.0",43,43,7,11,30,45,11,91,237,40,254,52,194,20,43,62,51,37,17,69,0,34
"25139","Migut.N01356.v2.0",89,199,31,102,140,83,46,175,758,32,1075,93,273,79,95,70,79,47,60,144,6,242
"25140","Migut.N01357.v2.0",20,41,0,19,22,11,5,34,120,4,206,14,45,26,8,8,18,14,17,19,1,56
"25141","Migut.N01358.v2.0",114,274,24,367,283,137,286,142,1824,4,3137,78,190,242,230,64,35,15,8,159,36,511
"25142","Migut.N01359.v2.0",415,453,57,228,363,213,285,413,2538,93,3125,239,515,208,239,240,276,152,123,431,37,620
"25143","Migut.N01360.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25144","Migut.N01361.v2.0",152,110,26,86,252,93,49,221,1329,72,1850,94,270,33,83,167,105,55,51,297,5,272
"25145","Migut.N01362.v2.0",1269,1340,182,566,1167,841,672,1639,5995,352,9316,927,3118,716,871,1036,866,415,692,1430,61,1059
"25146","Migut.N01363.v2.0",1033,1749,179,952,1432,710,653,1204,9049,278,11595,824,2301,886,973,592,667,550,323,2064,139,2827
"25147","Migut.N01364.v2.0",53,210,34,372,371,90,206,152,1427,24,2691,98,161,159,176,71,40,28,27,182,17,524
"25148","Migut.N01365.v2.0",873,450,64,416,320,305,304,415,3033,156,4371,342,1722,235,530,697,352,278,160,759,61,1215
"25149","Migut.N01366.v2.0",252,286,42,100,269,149,135,234,1485,64,2235,139,480,134,148,178,136,71,114,286,25,308
"25150","Migut.N01367.v2.0",512,810,85,259,462,267,384,444,2913,99,3975,320,1192,435,485,389,424,183,223,660,36,744
"25151","Migut.N01368.v2.0",10,7,0,1,3,1,3,4,27,0,21,1,7,2,1,4,7,6,1,2,0,11
"25152","Migut.N01369.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25153","Migut.N01370.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25154","Migut.N01371.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25155","Migut.N01372.v2.0",10,5,0,4,8,4,5,8,89,6,105,5,15,3,2,17,8,1,1,4,0,3
"25156","Migut.N01373.v2.0",2,12,2,11,0,5,7,2,8,0,4,6,12,14,14,0,4,0,0,0,0,1
"25157","Migut.N01374.v2.0",199,327,50,145,404,104,152,304,2446,79,3550,112,499,205,241,139,199,76,106,347,21,425
"25158","Migut.N01375.v2.0",333,219,43,147,97,100,149,188,361,27,578,322,771,200,259,67,171,113,70,347,19,541
"25159","Migut.N01376.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25160","Migut.N01377.v2.0",146,133,15,104,128,67,57,111,897,31,1261,91,255,76,88,94,94,43,52,140,16,221
"25161","Migut.N01378.v2.0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25162","Migut.N01379.v2.0",68,62,8,9,27,17,66,70,129,9,184,61,250,40,85,32,58,27,22,113,9,90
"25163","Migut.N01380.v2.0",201,155,47,60,178,139,142,211,1062,60,1389,163,338,89,97,185,139,47,141,168,6,107
"25164","Migut.N01381.v2.0",5,13,8,8,5,2,8,16,72,1,86,3,17,16,9,5,9,5,3,9,0,23
"25165","Migut.N01382.v2.0",19,32,6,6,40,11,9,29,133,6,232,8,44,22,24,18,9,8,5,19,1,18
"25166","Migut.N01383.v2.0",0,0,0,0,2,4,0,2,3,0,4,4,1,0,1,0,0,0,0,0,0,2
"25167","Migut.N01384.v2.0",64,79,6,29,70,35,13,85,203,14,295,73,153,48,49,46,47,29,24,57,3,92
